"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","Tryps","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4401","49847790","49847790-2012-06-20",10,100,2012-06-20,"HA1",2012,"F","Adult",1,0,0,0,NA,0,1,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,5,0,0,8,0,0,15,0,0,18,0,0,23,0,0,27,0,0,27,0
"4402","49847790","49847790-2012-07-03",20,70,2012-07-03,"HA1",2012,"F","Adult",1,0,0,0,NA,0,2,0,0,3,0,0,3,0,0,5,0,0,5,0,0,6,0,0,11,0,0,13,0,0,13,0,0,15,0,0,20,0,0,28,0,0,30,0,0,33,0,0,34,0,0,34,0
"4432","52826884","52826884-2012-12-18",10,100,2012-12-18,"HA1",2012,"M","Adult",0,0,0,4,0,0,14,0,3,20,0.130434782608696,3,34,0.0810810810810811,3,42,0.0666666666666667,3,43,0.0652173913043478,5,53,0.0862068965517241,6,59,0.0923076923076923,6,62,0.0882352941176471,7,65,0.0972222222222222,10,88,0.102040816326531,12,114,0.0952380952380952,18,139,0.114649681528662,23,164,0.122994652406417,30,213,0.123456790123457,39,259,0.130872483221477,41,281,0.127329192546584
"4451","52842550","52842550-2012-06-06",30,100,2012-06-06,"HA1",2012,"F","Adult",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4452","52842550","52842550-2012-06-19",50,80,2012-06-19,"HA1",2012,"F","Adult",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,3,0,0,3,0,0,3,0,0,5,0,0,6,0,0,11,0,0,12,0,0,12,0,0,13,0,0,17,0,0,17,0,0,17,0
"4453","52842550","52842550-2012-07-03",60,60,2012-07-03,"HA1",2012,"F","Adult",0,0,0,2,0,0,2,0,0,3,0,0,3,0,0,4,0,0,6,0,0,6,0,0,8,0,0,10,0,0,12,0,0,20,0,0,25,0,0,28,0,0,34,0,0,34,0,0,34,0,0,34,0
"4454","52842550","52842550-2012-07-18",60,90,2012-07-18,"HA1",2012,"F","Adult",0,0,0,0,NA,0,1,0,0,3,0,0,3,0,1,7,0.125,1,7,0.125,1,10,0.0909090909090909,1,12,0.0769230769230769,1,13,0.0714285714285714,1,14,0.0666666666666667,1,25,0.0384615384615385,2,30,0.0625,2,35,0.0540540540540541,2,41,0.0465116279069767,3,44,0.0638297872340425,3,53,0.0535714285714286,3,55,0.0517241379310345
"4455","52842550","52842550-2012-08-14",50,100,2012-08-14,"HA1",2012,"F","Adult",0,0,0,0,NA,0,3,0,0,5,0,0,9,0,0,10,0,0,10,0,1,13,0.0714285714285714,1,14,0.0666666666666667,1,16,0.0588235294117647,1,18,0.0526315789473684,1,29,0.0333333333333333,1,41,0.0238095238095238,1,45,0.0217391304347826,2,51,0.0377358490566038,3,58,0.0491803278688525,3,67,0.0428571428571429,3,72,0.04
"4456","52842550","52842550-2012-07-31",60,90,2012-07-31,"HA1",2012,"F","Adult",0,0,0,1,0,0,3,0,0,5,0,0,6,0,1,10,0.0909090909090909,1,10,0.0909090909090909,1,13,0.0714285714285714,1,15,0.0625,1,16,0.0588235294117647,1,17,0.0555555555555556,1,29,0.0333333333333333,2,34,0.0555555555555556,2,39,0.0487804878048781,2,45,0.0425531914893617,3,48,0.0588235294117647,3,57,0.05,3,59,0.0483870967741935
"4501","66808052","66808052-2012-08-30",60,20,2012-08-30,"HA1",2012,"M","Adult",0,0,0,1,0,1,3,0.25,1,4,0.2,1,7,0.125,2,13,0.133333333333333,2,16,0.111111111111111,2,18,0.1,3,21,0.125,3,26,0.103448275862069,3,33,0.0833333333333333,4,44,0.0833333333333333,4,65,0.0579710144927536,4,77,0.0493827160493827,5,97,0.0490196078431373,7,112,0.0588235294117647,7,115,0.0573770491803279,7,115,0.0573770491803279
